_id,ID,LAMS_ID,IS_CIRCLE,NAME,NAME_EN,BBS_CODE,ROW_STATUS,DIVISION_BBS_CODE,DIVISION_ID,DIVISION_NAME,DIVISION_NAME_EN,DISTRICT_BBS_CODE,DISTRICT_ID,DISTRICT_NAME,DISTRICT_NAME_EN
67f504868a956129955bf70c,52537,,0,বগুড়া সদর,BOGRA SADAR,20,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf70d,52536,,0,ধুনট,DHUNAT,27,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf70e,52535,,0,দুপচাঁচিয়া,DUPCHACHIA,33,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf70f,52534,,0,গাবতলী,GABTALI,40,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf710,52533,,0,কাহালু,KAHALOO,54,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf711,52532,,0,নন্দীগ্রাম,NANDIGRAM,67,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf712,52531,,0,সারিয়াকান্দি,SARIAKANDI,81,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf713,52530,,0,শাজাহানপুর,SHAJAHANPUR,85,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf714,52529,,0,শেরপুর,SHERPUR,88,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf715,52528,,0,শিব্‌গঞ্জ,SHIBGANJ,94,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf716,52527,,0,সোনাতলা,SONATALA,95,1,50,5,রাজশাহী,Rajshahi,10,45,বগুড়া,BOGRA
67f504868a956129955bf717,52526,,0,আখাউড়া,AKHAURA,02,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf718,52525,,0,বাঞ্ছারামপুর,BANCHHARAMPUR,04,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf719,52524,,0,ব্রাক্ষ্মণবাড়িয়া সদর,BRAHMANBARIA SADAR,13,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf71a,52523,,0,আশুগঞ্জ,ASHUGANJ,33,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf71b,52522,,0,কস্‌বা,KASBA,63,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf71c,52521,,0,নবীনগর,NABINAGAR,85,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf71d,52520,,0,নাসিরনগর,NASIRNAGAR,90,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf71e,52519,,0,সরাইল,SARAIL,94,1,20,2,চট্টগ্রাম,Chittagong,12,8,ব্রাহ্মণবাড়িয়া,BRAHMANBARIA
67f504868a956129955bf71f,52518,,0,চাঁদপুর সদর,CHANDPUR SADAR,22,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf720,52517,,0,ফরিদগঞ্জ,FARIDGANJ,45,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
67f504868a956129955bf721,52516,,0,হাইমচর,HAIMCHAR,47,1,20,2,চট্টগ্রাম,Chittagong,13,9,চাঁদপুর,CHANDPUR
